"","genus","species","coder"
"1","Aconitum","columbianum","B"
"2","Aesculus","californica","B"
"3","Aesculus","pavia","B"
"4","Agastache","urticifolia","B"
"5","Agave","palmeri","B"
"6","Agave","macroacantha","B"
"7","Agave","schottii","B"
"8","Agave","utahensis","B"
"9","Agoseris","grandiflora","B"
"10","Amorpha","canescens","B"
"11","Amorpha","fruticosa","B"
"12","Anisacanthus","quadrifidus","B"
"13","Anisacanthus","thurberi","B"
"14","Aquilegia","chrysantha","B"
"15","Aquilegia","formosa","B"
"16","Aquilegia","desertorum","B"
"17","Aquilegia","elegantula","B"
"18","Aquilegia","eximia","B"
"19","Aquilegia","canadensis","B"
"20","Arbutus","menziesii","B"
"21","Arctostaphylos","pungens","B"
"22","Arctostaphylos","mewukka","B"
"23","Arctostaphylos","nevadensis","B"
"24","Arctostaphylos","patula","B"
"25","Arctostaphylos","viscida","B"
"26","Aristolochia","californica","B"
"27","Asclepias","cordifolia","B"
"28","Asclepias","speciosa","B"
"29","Astragulus","coccineus","B"
"30","Berberis","nevinii","B"
"31","Bignonia","capreolata","B"
"32","Bouvardia","ternifolia","B"
"33","Calliandra","californica","B"
"34","Calochortus","albus","B"
"35","Calochortus","luteus","B"
"36","Calochortus","venustus","B"
"37","Calochortus","superbus","B"
"38","Camassia","quamash","B"
"39","Campsis","radicans","B"
"40","Castilleja","austromontana","B"
"41","Castilleja","exserta","B"
"42","Castilleja","integra","B"
"43","Castilleja","lanata","B"
"44","Castilleja","tenuiflora","B"
"45","Castilleja","affinis","B"
"46","Castilleja","applegatei","B"
"47","Castilleja","arachnoidea","B"
"48","Castilleja","elmeri","B"
"49","Castilleja","fraterna","B"
"50","Castilleja","brevilobata","B"
"51","Castilleja","hispida","B"
"52","Castilleja","linariifolia","B"
"53","Castilleja","miniate","B"
"54","Castilleja","parviflora","B"
"55","Castilleja","pruinosa","B"
"56","Castilleja","rhexiifolia","B"
"57","Castilleja","rupicola","B"
"58","Castilleja","suksdorfii","B"
"59","Castilleja","affinis","B"
"60","Castilleja","angustifolia","B"
"61","Castilleja","applegatei","B"
"62","Castilleja","covilleana","B"
"63","Castilleja","crista-galli","B"
"64","Castilleja","cruenta","B"
"65","Castilleja","culbertsonii","B"
"66","Castilleja","minor","B"
"67","Castilleja","foliolosa","B"
"68","Castilleja","subinclusa","B"
"69","Castilleja","haydenii","B"
"70","Castilleja","inconstans","B"
"71","Castilleja","latifolia","B"
"72","Castilleja","lemmonii","B"
"73","Castilleja","nana","B"
"74","Castilleja","organorum","B"
"75","Castilleja","patriotica","B"
"76","Castilleja","payneae","B"
"77","Castilleja","plagiotoma","B"
"78","Castilleja","subinclusa","B"
"79","Castilleja","wootonii","B"
"80","Castilleja","indivisa","B"
"81","Ceanothus","cuneatus","B"
"82","Ceanothus","lemmonii","B"
"83","Cephalanthus","occidentalis","B"
"84","Cercis","occidentalis","B"
"85","Chamerion","angustifolium","B"
"86","Chilopsis","linearis","B"
"87","Cirsium","arizonicum","B"
"88","Cirsium","occidentale","B"
"89","Clarkia","unguiculata","B"
"90","Clematis","ligusticifolia","B"
"91","Clematis","lasiantha","B"
"92","Cleome","serrulata","B"
"93","Collinsia","heterophylla","B"
"94","Collomia","grandiflora","B"
"95","Collomia","rawsoniana","B"
"96","Cornus","glabrata","B"
"97","Cynoglossum","grande","B"
"98","Delphinium","nudicaule","B"
"99","Delphinium","cardinale","B"
"100","Delphinium","variegatum","B"
"101","Delphinium","glaucum","B"
"102","Dicentra","formosa","B"
"103","Dichelostemma","ida-maia","B"
"104","Dichelostemma","capitatum","B"
"105","Dudleya","cymosa","B"
"106","Echinocereus","triglochidiatus","B"
"107","Epilobium","canum","B"
"108","Epilobium","septentrionale","B"
"109","Erysimum","capitatum","B"
"110","Erythrina","flabelliformis","B"
"111","Erythrina","herbacea","B"
"112","Erythronium","grandiflorum","B"
"113","Fouquieria","splendens","B"
"114","Frangula","californica","B"
"115","Fritillaria","recurva","B"
"116","Galvezia","juncea","B"
"117","Galvezia","speciosa","B"
"118","Geum","triflorum","B"
"119","Gilia","subnuda","B"
"120","Gilia","tricolor","B"
"121","Gilia","capitata","B"
"122","Helenium","bigelovii","B"
"123","Hesperaloe","parviflora","B"
"124","Heteromeles","arbutifolia","B"
"125","Heuchera","sanguinea","B"
"126","Heuchera","maximum","B"
"127","Heuchera","micrantha","B"
"128","Hibiscus","coccineus","B"
"129","Hibiscus","martianus","B"
"130","Hoita","macrostachya","B"
"131","Impatiens","capensis","B"
"132","Ipomoea","cristulata","B"
"133","Ipomopsis","aggregatassp.candida","B"
"134","Ipomopsis","aggregatassp.aggregata","B"
"135","Ipomopsis","aggregata","B"
"136","Ipomopsis","tenuifolia","B"
"137","Ipomopsis","rubra","B"
"138","Iris","douglasiana","B"
"139","Iris","missouriensis","B"
"140","Justicia","californica","B"
"141","Justicia","candicans","B"
"142","Keckiella","cordifolia","B"
"143","Keckiella","corymbosa","B"
"144","Keckiella","ternata","B"
"145","Keckiella","lemmonii","B"
"146","Keckiella","antirrhinoides","B"
"147","Keckiella","breviflora","B"
"148","Lantana","urticoides","B"
"149","Leucophyllum","frutescens","B"
"150","Lilium","bolanderi","B"
"151","Lilium","columbianum","B"
"152","Lilium","pardalinum","B"
"153","Lilium","washingtonianum","B"
"154","Lilium","maritimum","B"
"155","Lilium","parvum","B"
"156","Lilium","humboldtii","B"
"157","Lobelia","cardinalis","B"
"158","Lobelia","laxiflora","B"
"159","Lonicera","ciliosa","B"
"160","Lonicera","hispidula","B"
"161","Lonicera","involucrata","B"
"162","Lonicera","arizonica","B"
"163","Lonicera","involucrata","B"
"164","Lotus","scoparius","B"
"165","Lupinus","nanus","B"
"166","Lupinus","succulentus","B"
"167","Lupinus","albifrons","B"
"168","Mahonia","aquifolium","B"
"169","Malvaviscus","arboreus","B"
"170","Maurandella","antirrhiniflora","B"
"171","Menziesia","ferruginea","B"
"172","Mimulus","cardinalis","B"
"173","Mimulus","aurantiacus","B"
"174","Mimulus","eastwoodiae","B"
"175","Mimulus","guttatus","B"
"176","Mimulus","lewisii","B"
"177","Mirabilis","coccinea","B"
"178","Monarda","fistulosa","B"
"179","Monarda","didyma","B"
"180","Monarda","citriodora","B"
"181","Monardella","macrantha","B"
"182","Monardella","odoratissima","B"
"183","Monardella","villosa","B"
"184","Nyctaginia","capitata","B"
"185","Oenothera","elata","B"
"186","Opuntia","basilaris","B"
"187","Paeonia","brownii","B"
"188","Pedicularis","densiflora","B"
"189","Penstemon","barbatus","B"
"190","Penstemon","eatonii","B"
"191","Penstemon","palmeri","B"
"192","Penstemon","parryi","B"
"193","Penstemon","pseudospectabilis","B"
"194","Penstemon","strictus","B"
"195","Penstemon","subulatus","B"
"196","Penstemon","fruticosus","B"
"197","Penstemon","newberryi","B"
"198","Penstemon","procerus","B"
"199","Penstemon","rupicola","B"
"200","Penstemon","rydbergii","B"
"201","Penstemon","bridgesii","B"
"202","Penstemon","cardinalis","B"
"203","Penstemon","centranthifolius","B"
"204","Penstemon","clevelandii","B"
"205","Penstemon","labrosus","B"
"206","Penstemon","ramosus","B"
"207","Penstemon","pinifolius","B"
"208","Penstemon","utahensis","B"
"209","Penstemon","grinnelli","B"
"210","Penstemon","heterophyllus","B"
"211","Penstemon","laetus","B"
"212","Penstemon","azureus","B"
"213","Penstemon","baccharifolius","B"
"214","Penstemon","triflorus","B"
"215","Peritoma","arborea","B"
"216","Philadelphus","lewisii","B"
"217","Phlox","speciosa","B"
"218","Phlox","drummondii","B"
"219","Pickeringia","montana","B"
"220","Platanus","racemosa","B"
"221","Polemonium","pauciflorum","B"
"222","Polemonium","brandegeei","B"
"223","Ranunculus","californicus","B"
"224","Rhamnus","ilicifolia","B"
"225","Rhododendron","occidentale","B"
"226","Ribes","roezlii","B"
"227","Ribes","sanguinea","B"
"228","Ribes","speciosum","B"
"229","Ribes","malvaceum","B"
"230","Ribes","viburnifolium","B"
"231","Ribes","aureum","B"
"232","Ribes","nevadense","B"
"233","Rosa","californica","B"
"234","Rubus","spectabilis","B"
"235","Sagittaria","sanfordii","B"
"236","Salix","exigua","B"
"237","Salix","gooddingii","B"
"238","Salix","laevigata","B"
"239","Salix","lasiolepis","B"
"240","Salix","lucida","B"
"241","Salix","scouleriana","B"
"242","Saltugilia","splendens","B"
"243","Salvia","spathacea","B"
"244","Salvia","dorrii","B"
"245","Salvia","lemmonii","B"
"246","Salvia","spathacea","B"
"247","Salvia","mellifera","B"
"248","Salvia","clevelandii","B"
"249","Salvia","leucophylla","B"
"250","Salvia","apiana","B"
"251","Salvia","sonomensis","B"
"252","Salvia","coccinea","B"
"253","Salvia","greggii","B"
"254","Salvia","penstemonoides","B"
"255","Salvia","regla","B"
"256","Salvia","roemeriana","B"
"257","Salvia","henryi","B"
"258","Sambucus","nigra","B"
"259","Sarcodes","sanguinea","B"
"260","Satureja","mimuloides","B"
"261","Scrophularia","coccinea","B"
"262","Scrophularia","californica","B"
"263","Sedum","spathulifolium","B"
"264","Sedum","obtusatum","B"
"265","Sesbania","drummondii","B"
"266","Sidalcea","oregana","B"
"267","Sidalcea","malviflora","B"
"268","Silene","californica","B"
"269","Silene","laciniata","B"
"270","Silene","virginica","B"
"271","Sisyrinchium","bellum","B"
"272","Solanum","xanti","B"
"273","Solidago","californica","B"
"274","Spigelia","marilandica","B"
"275","Spiraea","douglasii","B"
"276","Stachys","coccinea","B"
"277","Stachys","chamissonisvar.cooleyae","B"
"278","Stachys","chamissonis","B"
"279","Stachys","ajugoides","B"
"280","Symphoricarpos","occidentalis","B"
"281","Symphoricarpos","mollis","B"
"282","Symphoricarpos","rotundifolius","B"
"283","Tecoma","stans","B"
"284","Trichostema","lanatum","B"
"285","Triteleia","lilacina","B"
"286","Triteleia","laxa","B"
"287","Triteleia","ixioides","B"
"288","Vaccinium","ovatum","B"
"289","Verbena","hastata","B"
